product_id,units_sold,total_revenue,total_profit,profit_margin_pct
PROD0104,302,723883,251128,34.69
PROD0105,263,630297,207616,32.94
PROD0106,293,822181,274641,33.4
PROD0107,303,876290,275955,31.49
PROD0108,307,658243,209858,31.88
PROD0109,363,863225,282773,32.76
PROD0110,261,604030,195813,32.42
PROD0111,270,640563,206188,32.19
PROD0112,340,856589,283791,33.13
PROD0113,287,840508,287951,34.26
PROD0114,281,702923,243297,34.61
PROD0115,286,695984,219228,31.5
PROD0116,306,819666,265191,32.35
PROD0117,252,693045,230112,33.2
PROD0118,287,722835,236531,32.72
PROD0119,291,782723,243804,31.15
PROD0120,279,596172,191065,32.05
PROD0121,315,886246,288128,32.51
PROD0122,308,858190,303464,35.36
PROD0123,324,833328,273539,32.82
PROD0124,291,757444,226851,29.95
PROD0125,270,699322,231719,33.13
PROD0126,256,645891,207774,32.17
PROD0127,314,778514,255371,32.8
PROD0128,233,576838,189772,32.9
PROD0129,282,783265,254956,32.55
PROD0130,273,714191,242855,34.0
PROD0131,280,752774,252993,33.61
PROD0132,274,797617,250819,31.45
PROD0133,340,830389,255061,30.72
PROD0134,250,675999,222679,32.94
PROD0135,299,822276,267186,32.49
PROD0136,302,819100,265371,32.4
PROD0137,304,808482,268089,33.16
PROD0138,283,726215,243825,33.57
PROD0139,263,639621,203499,31.82
PROD0140,273,741737,246070,33.17
PROD0141,346,947408,318349,33.6
PROD0142,294,761051,251561,33.05
PROD0143,332,822929,285432,34.68
PROD0144,284,700948,221951,31.66
PROD0145,323,782894,248712,31.77
PROD0146,337,770122,239399,31.09
PROD0147,311,883111,297388,33.68
PROD0148,314,794721,247483,31.14
PROD0149,328,864223,272973,31.59
PROD0150,283,710325,238493,33.58
PROD0151,292,682443,223177,32.7
PROD0152,297,757009,249340,32.94
PROD0153,320,860391,272399,31.66
PROD0154,334,902475,291066,32.25
PROD0155,312,841929,274508,32.6
PROD0156,307,787671,236472,30.02
PROD0157,265,642515,206586,32.15
PROD0158,306,759868,247634,32.59
PROD0159,326,845142,288947,34.19
PROD0160,308,769270,268668,34.93
PROD0161,282,745442,255565,34.28
PROD0162,330,884950,278840,31.51
PROD0163,287,766134,256351,33.46
PROD0164,314,766162,242924,31.71
PROD0165,267,697043,228880,32.84
PROD0166,310,885926,298166,33.66
PROD0167,345,906363,293066,32.33
PROD0168,317,891395,299413,33.59
PROD0169,293,833752,263922,31.65
PROD0170,327,781426,247709,31.7
PROD0171,312,858710,264519,30.8
PROD0172,288,740310,245182,33.12
PROD0173,294,771136,244658,31.73
PROD0174,306,810735,262880,32.42
PROD0175,253,650387,205616,31.61
PROD0176,304,838537,287089,34.24
PROD0177,302,735218,248609,33.81
PROD0178,233,683672,226688,33.16
PROD0179,285,684625,218744,31.95
PROD0180,320,816517,267204,32.72
PROD0181,308,870750,272974,31.35
PROD0182,287,683921,227567,33.27
PROD0183,290,799626,261088,32.65
PROD0184,307,756000,236073,31.23
PROD0185,277,732748,240814,32.86
PROD0186,331,940018,280213,29.81
PROD0187,293,775346,255270,32.92
PROD0188,288,723886,230166,31.8
PROD0189,361,950064,309272,32.55
PROD0190,261,668913,218054,32.6
PROD0191,328,951272,314597,33.07
PROD0192,318,746765,226573,30.34
PROD0193,295,685589,233431,34.05
PROD0194,277,743398,232660,31.3
PROD0195,299,829293,274733,33.13
PROD0196,193,421009,143324,34.04
PROD0197,273,645727,198549,30.75
PROD0198,321,753318,240009,31.86
PROD0199,307,770841,264801,34.35
PROD0200,284,725077,235427,32.47
PROD0201,276,748606,250684,33.49
PROD0202,297,749543,239623,31.97
PROD0203,303,862385,269663,31.27
PROD0204,330,799711,264890,33.12
PROD0205,328,895165,281908,31.49
PROD0206,261,667019,210711,31.59
PROD0207,289,766710,247372,32.26
PROD0208,334,854517,295371,34.57
PROD0209,322,799815,247270,30.92
PROD0210,250,630583,192022,30.45
PROD0211,303,871184,253970,29.15
PROD0212,328,902723,281462,31.18
PROD0213,382,994286,339492,34.14
PROD0214,367,947034,323914,34.2
PROD0215,344,841305,269295,32.01
PROD0216,250,585609,182553,31.17
PROD0217,294,719882,229036,31.82
PROD0218,333,832567,282765,33.96
PROD0219,254,672640,226198,33.63
PROD0220,279,735926,246039,33.43
PROD0221,300,763307,242985,31.83
PROD0222,346,825600,276219,33.46
PROD0223,285,810292,254181,31.37
PROD0224,334,899043,289971,32.25
PROD0225,349,862875,286621,33.22
PROD0226,325,792399,260005,32.81
PROD0227,256,643288,184003,28.6
PROD0228,314,740489,224119,30.27
PROD0229,218,556185,173977,31.28
PROD0230,344,850040,261943,30.82
PROD0231,319,806718,261639,32.43
PROD0232,283,746729,247928,33.2
PROD0233,312,853769,254578,29.82
PROD0234,296,739194,234973,31.79
PROD0235,281,761755,238945,31.37
PROD0236,325,838201,280318,33.44
PROD0237,296,672782,222305,33.04
PROD0238,304,773698,260328,33.65
PROD0239,262,743853,222561,29.92
PROD0240,310,732919,236633,32.29
PROD0241,294,817882,288116,35.23
PROD0242,291,811133,289029,35.63
PROD0243,314,847249,261257,30.84
PROD0244,286,787746,252787,32.09
PROD0245,266,718303,236516,32.93
PROD0246,301,748916,254725,34.01
PROD0247,311,913444,288314,31.56
PROD0248,346,815454,239919,29.42
PROD0249,288,742418,222545,29.98
PROD0250,358,872720,283124,32.44
PROD0251,292,818836,285740,34.9
PROD0252,208,615590,202589,32.91
PROD0253,309,800517,259816,32.46
PROD0254,342,877639,300666,34.26
PROD0255,332,876986,261203,29.78
PROD0256,233,570659,192077,33.66
PROD0257,299,847464,273101,32.23
PROD0258,317,809827,248916,30.74
PROD0259,310,777969,241990,31.11
PROD0260,310,786735,244057,31.02
PROD0261,310,692805,218068,31.48
PROD0262,286,756781,254590,33.64
PROD0263,252,657708,211264,32.12
PROD0264,328,861137,282958,32.86
PROD0265,341,900819,287101,31.87
PROD0266,226,535629,170536,31.84
PROD0267,273,643495,203002,31.55
PROD0268,281,670344,215940,32.21
PROD0269,297,641198,212159,33.09
PROD0270,332,865720,288484,33.32
PROD0271,301,826312,275655,33.36
PROD0272,277,711871,225895,31.73
PROD0273,275,757138,240703,31.79
PROD0274,277,639603,223669,34.97
PROD0275,330,863244,279984,32.43
PROD0276,311,880198,294506,33.46
PROD0277,302,708169,222257,31.38
PROD0278,324,829932,258561,31.15
PROD0279,305,819367,256301,31.28
PROD0280,248,684830,219320,32.03
PROD0281,316,771090,255326,33.11
PROD0282,300,821058,249217,30.35
PROD0283,293,814600,248725,30.53
PROD0284,356,931905,302643,32.48
PROD0285,259,692733,214600,30.98
PROD0286,353,982788,319133,32.47
PROD0287,292,752648,242448,32.21
PROD0288,270,740091,227318,30.71
PROD0289,351,925439,297633,32.16
PROD0290,287,712236,222391,31.22
PROD0291,348,929820,301679,32.44
PROD0292,280,729441,232578,31.88
PROD0293,305,775371,251003,32.37
PROD0294,286,749134,243764,32.54
PROD0295,289,695771,228991,32.91
PROD0296,264,638563,200282,31.36
PROD0297,290,666923,224912,33.72
PROD0298,327,911643,296823,32.56
PROD0299,257,646854,199665,30.87
PROD0300,327,825136,261079,31.64
PROD0301,296,782878,258229,32.98
PROD0302,284,804116,256081,31.85
PROD0303,294,707918,229740,32.45
PROD0304,339,869043,290984,33.48
PROD0305,274,679954,205243,30.18
PROD0306,244,661861,211817,32.0
PROD0307,351,904658,307642,34.01
PROD0308,297,750808,243855,32.48
PROD0309,307,787705,255186,32.4
PROD0310,309,813972,276674,33.99
PROD0311,299,790295,266724,33.75
PROD0312,304,827871,271343,32.78
PROD0313,326,813394,279263,34.33
PROD0314,266,745089,242423,32.54
PROD0315,353,912734,269035,29.48
PROD0316,288,739876,241753,32.67
PROD0317,305,748101,251441,33.61
PROD0318,293,776166,244693,31.53
PROD0319,280,662783,213564,32.22
PROD0320,313,811712,266074,32.78
PROD0321,270,642450,208352,32.43
PROD0322,266,635912,192165,30.22
PROD0323,277,640417,206931,32.31
PROD0324,276,751642,237413,31.59
PROD0325,267,724065,228116,31.5
PROD0326,234,670592,198276,29.57
PROD0327,277,685548,234688,34.23
PROD0328,242,588956,182865,31.05
PROD0329,274,742760,225735,30.39
PROD0330,361,917239,308281,33.61
PROD0331,261,615404,195741,31.81
PROD0332,363,890438,293790,32.99
PROD0333,243,551174,196249,35.61
PROD0334,262,693900,216564,31.21
PROD0335,332,888839,297941,33.52
PROD0336,387,1029507,324896,31.56
PROD0337,343,888587,280441,31.56
PROD0338,268,739332,250983,33.95
PROD0339,252,612397,191989,31.35
PROD0340,297,857662,280728,32.73
PROD0341,281,720319,241089,33.47
PROD0342,307,791572,265094,33.49
PROD0343,243,567539,192325,33.89
PROD0344,366,1000992,330169,32.98
PROD0345,320,904102,292128,32.31
PROD0346,335,922618,306334,33.2
PROD0347,273,619827,202143,32.61
PROD0348,317,770599,247284,32.09
PROD0349,321,897245,279951,31.2
PROD0350,278,721014,234568,32.53
PROD0351,333,896175,288937,32.24
PROD0352,280,792032,266009,33.59
PROD0353,308,812401,284805,35.06
PROD0354,289,829374,290919,35.08
PROD0355,296,716739,229313,31.99
PROD0356,382,834681,257862,30.89
PROD0357,315,819928,259335,31.63
PROD0358,311,733993,240644,32.79
PROD0359,312,806271,274170,34.0
PROD0360,361,917134,295536,32.22
PROD0361,304,809252,265418,32.8
PROD0362,317,843888,253782,30.07
PROD0363,302,848114,281543,33.2
PROD0364,333,912054,278421,30.53
PROD0365,330,861877,266850,30.96
PROD0366,320,859811,291381,33.89
PROD0367,278,679760,238067,35.02
PROD0368,319,778269,241191,30.99
PROD0369,326,862873,285006,33.03
PROD0370,338,868552,296469,34.13
PROD0371,247,685159,245385,35.81
PROD0372,266,781193,255777,32.74
PROD0373,290,762893,246727,32.34
PROD0374,318,811711,252518,31.11
PROD0375,252,668155,217957,32.62
PROD0376,373,960054,312900,32.59
PROD0377,347,949406,306560,32.29
PROD0378,278,739439,235794,31.89
PROD0379,255,647837,213456,32.95
PROD0380,335,842680,265472,31.5
PROD0381,276,634733,204553,32.23
PROD0382,276,677104,213992,31.6
PROD0383,323,916887,303976,33.15
PROD0384,315,818430,267689,32.71
PROD0385,291,752329,240169,31.92
PROD0386,336,877454,267793,30.52
PROD0387,329,862067,249673,28.96
PROD0388,358,913237,296241,32.44
PROD0389,284,730537,227870,31.19
PROD0390,296,767355,256701,33.45
PROD0391,311,797434,250395,31.4
PROD0392,266,654430,210538,32.17
PROD0393,312,834806,275746,33.03
PROD0394,374,974709,314551,32.27
PROD0395,302,832564,262181,31.49
PROD0396,311,766539,240576,31.38
PROD0397,283,771259,225132,29.19
PROD0398,274,693593,237695,34.27
PROD0399,344,925750,300671,32.48
PROD0400,299,895070,291251,32.54
PROD0401,223,566965,181711,32.05
PROD0402,274,694295,230002,33.13
PROD0403,315,887072,288485,32.52
PROD0404,301,699917,229981,32.86
PROD0405,330,916082,310163,33.86
PROD0406,336,839673,275973,32.87
PROD0407,295,698346,246247,35.26
PROD0408,254,643925,226173,35.12
PROD0409,306,808423,262073,32.42
PROD0410,332,794089,259664,32.7
PROD0411,321,884952,288803,32.63
PROD0412,348,959852,293187,30.55
PROD0413,289,727841,233931,32.14
PROD0414,300,669567,220906,32.99
PROD0415,302,770742,257361,33.39
PROD0416,361,979244,306212,31.27
PROD0417,336,841995,279607,33.21
PROD0418,292,843358,291654,34.58
PROD0419,250,624560,195600,31.32
PROD0420,301,754445,230192,30.51
PROD0421,311,849716,292602,34.44
PROD0422,303,810487,259242,31.99
PROD0423,275,671104,203156,30.27
PROD0424,292,826185,262187,31.73
PROD0425,342,808667,260312,32.19
PROD0426,234,539348,163592,30.33
PROD0427,288,769509,238787,31.03
PROD0428,273,627248,199434,31.8
PROD0429,322,895918,284941,31.8
PROD0430,261,702000,244943,34.89
PROD0431,258,728978,252243,34.6
PROD0432,287,720202,243311,33.78
PROD0433,302,847351,268933,31.74
PROD0434,352,955891,302126,31.61
PROD0435,245,609146,185179,30.4
PROD0436,296,781905,258518,33.06
PROD0437,288,803635,279517,34.78
PROD0438,318,910928,288856,31.71
PROD0439,299,914953,315921,34.53
PROD0440,291,776766,243053,31.29
PROD0441,374,989571,335525,33.91
PROD0442,271,767200,241868,31.53
PROD0443,251,673632,210124,31.19
PROD0444,301,771841,243423,31.54
PROD0445,285,790269,254115,32.16
PROD0446,299,747629,241049,32.24
PROD0447,257,701177,219408,31.29
PROD0448,262,786596,262256,33.34
PROD0449,305,751509,241831,32.18
PROD0450,316,814982,271101,33.26
PROD0451,267,728049,237329,32.6
PROD0452,304,831778,273608,32.89
PROD0453,376,960222,326041,33.95
PROD0454,268,675636,221063,32.72
PROD0455,255,612993,201190,32.82
PROD0456,278,726749,236976,32.61
PROD0457,229,627221,223185,35.58
PROD0458,312,846554,286879,33.89
PROD0459,337,782261,261796,33.47
PROD0460,287,671843,207140,30.83
PROD0461,223,628339,219251,34.89
PROD0462,307,770279,239096,31.04
PROD0463,263,668832,208968,31.24
PROD0464,296,780130,251720,32.27
PROD0465,304,786117,262916,33.44
PROD0466,317,759190,238042,31.35
PROD0467,323,891277,298176,33.45
PROD0468,298,803928,250794,31.2
PROD0469,267,715804,233823,32.67
PROD0470,251,637545,211617,33.19
PROD0471,297,706235,230917,32.7
PROD0472,309,833469,284835,34.17
PROD0473,326,887597,291195,32.81
PROD0474,251,714887,230322,32.22
PROD0475,278,716235,230447,32.17
PROD0476,269,679838,215652,31.72
PROD0477,299,783970,260806,33.27
PROD0478,361,950682,312604,32.88
PROD0479,325,798763,272806,34.15
PROD0480,298,800786,250994,31.34
PROD0481,236,583829,191699,32.83
PROD0482,346,937155,295399,31.52
PROD0483,222,573653,173426,30.23
PROD0484,268,748295,256490,34.28
PROD0485,308,773436,250288,32.36
PROD0486,315,840892,267181,31.77
PROD0487,265,667691,222585,33.34
PROD0488,247,631989,214483,33.94
PROD0489,325,919797,305412,33.2
PROD0490,310,818399,294101,35.94
PROD0491,298,756965,234450,30.97
PROD0492,274,677045,221453,32.71
PROD0493,328,881545,306293,34.75
PROD0494,316,860742,305468,35.49
PROD0495,261,739142,237460,32.13
PROD0496,345,901191,279836,31.05
PROD0497,286,731330,240249,32.85
PROD0498,315,819662,268516,32.76
PROD0499,294,865878,282209,32.59
PROD0500,294,809620,249862,30.86
