order_id,customer_id,product_id,order_date,quantity,unit_price,unit_cost,category,region,revenue,total_cost,profit,profit_margin_pct
ORD000073,CUST01017,PROD0262,2025-10-23,4,2050,1654,Electronics,North,8200,6616,1584,19.32
ORD000074,CUST00338,PROD0284,2025-02-14,4,1167,738,Beauty,South,4668,2952,1716,36.76
ORD000075,CUST00879,PROD0102,2025-05-10,5,3059,1727,Home,West,15295,8635,6660,43.54
ORD000076,CUST01077,PROD0377,2025-06-18,3,3552,2488,Sports,South,10656,7464,3192,29.95
ORD000077,CUST04888,PROD0206,2025-01-17,5,1103,662,Sports,South,5515,3310,2205,39.98
ORD000078,CUST03994,PROD0141,2025-02-19,4,2033,1472,Fashion,East,8132,5888,2244,27.59
ORD000079,CUST04860,PROD0013,2025-06-18,3,2511,2115,Electronics,East,7533,6345,1188,15.77
ORD000080,CUST00380,PROD0249,2025-12-12,4,4896,4018,Sports,South,19584,16072,3512,17.93
ORD000081,CUST00493,PROD0123,2025-09-26,2,4380,2207,Beauty,South,8760,4414,4346,49.61
ORD000082,CUST02063,PROD0010,2025-06-11,4,2238,1690,Fashion,South,8952,6760,2192,24.49
ORD000083,CUST03885,PROD0080,2025-11-07,2,756,404,Sports,North,1512,808,704,46.56
ORD000084,CUST00065,PROD0167,2025-12-16,1,1778,1150,Home,East,1778,1150,628,35.32
ORD000085,CUST02569,PROD0099,2025-01-02,3,1802,1110,Sports,North,5406,3330,2076,38.4
ORD000086,CUST02028,PROD0207,2025-07-23,4,4611,3446,Beauty,West,18444,13784,4660,25.27
ORD000087,CUST02696,PROD0151,2025-07-03,4,3052,2106,Sports,West,12208,8424,3784,31.0
ORD000088,CUST01496,PROD0037,2025-12-08,4,4345,2821,Fashion,West,17380,11284,6096,35.07
ORD000089,CUST00392,PROD0377,2025-12-24,4,4222,3423,Sports,West,16888,13692,3196,18.92
ORD000090,CUST04515,PROD0264,2025-09-26,3,2279,1844,Electronics,South,6837,5532,1305,19.09
ORD000091,CUST04475,PROD0474,2025-12-11,4,721,486,Beauty,East,2884,1944,940,32.59
ORD000092,CUST03562,PROD0444,2025-04-13,5,1949,1022,Electronics,West,9745,5110,4635,47.56
ORD000093,CUST02279,PROD0342,2025-02-06,2,1474,812,Home,East,2948,1624,1324,44.91
ORD000094,CUST03100,PROD0005,2025-01-21,2,1186,789,Electronics,South,2372,1578,794,33.47
ORD000095,CUST00201,PROD0378,2025-10-01,4,481,314,Home,West,1924,1256,668,34.72
ORD000096,CUST04876,PROD0226,2025-11-29,1,971,811,Electronics,East,971,811,160,16.48
ORD000097,CUST03105,PROD0027,2025-07-02,5,2612,1308,Fashion,South,13060,6540,6520,49.92
ORD000098,CUST04599,PROD0124,2025-03-30,5,3449,2910,Fashion,West,17245,14550,2695,15.63
ORD000099,CUST02455,PROD0403,2025-07-27,1,1439,797,Fashion,West,1439,797,642,44.61
ORD000100,CUST03646,PROD0427,2025-04-19,2,1550,868,Home,North,3100,1736,1364,44.0
ORD000101,CUST00805,PROD0299,2025-09-07,3,1596,1085,Sports,West,4788,3255,1533,32.02
ORD000102,CUST02732,PROD0035,2025-03-04,4,2811,1685,Home,South,11244,6740,4504,40.06
ORD000103,CUST02774,PROD0237,2025-08-09,2,3135,1797,Fashion,South,6270,3594,2676,42.68
ORD000104,CUST01571,PROD0468,2025-07-07,3,3814,2844,Beauty,North,11442,8532,2910,25.43
ORD000105,CUST02691,PROD0499,2025-06-23,2,3136,2034,Fashion,South,6272,4068,2204,35.14
ORD000106,CUST03841,PROD0311,2025-01-16,1,4075,2789,Electronics,North,4075,2789,1286,31.56
ORD000107,CUST01029,PROD0317,2025-08-02,1,2275,1241,Electronics,West,2275,1241,1034,45.45
ORD000108,CUST00503,PROD0303,2025-06-21,2,2492,1366,Electronics,West,4984,2732,2252,45.18
ORD000109,CUST04494,PROD0102,2025-05-20,2,4375,2852,Fashion,West,8750,5704,3046,34.81
ORD000110,CUST00871,PROD0077,2025-08-23,3,4736,3972,Sports,West,14208,11916,2292,16.13
ORD000111,CUST04489,PROD0312,2025-11-16,4,2669,1429,Electronics,West,10676,5716,4960,46.46
ORD000112,CUST00207,PROD0082,2025-06-05,5,1771,939,Beauty,South,8855,4695,4160,46.98
ORD000113,CUST01485,PROD0146,2025-10-11,4,1089,565,Fashion,North,4356,2260,2096,48.12
ORD000114,CUST00864,PROD0193,2025-03-28,3,4122,2095,Home,East,12366,6285,6081,49.18
ORD000115,CUST02791,PROD0224,2025-04-13,3,664,547,Home,West,1992,1641,351,17.62
ORD000116,CUST00564,PROD0053,2025-04-04,2,4028,2019,Home,West,8056,4038,4018,49.88
ORD000117,CUST04192,PROD0345,2025-12-22,1,2089,1318,Home,North,2089,1318,771,36.91
ORD000118,CUST01758,PROD0085,2025-09-07,5,1587,1165,Fashion,North,7935,5825,2110,26.59
ORD000119,CUST01679,PROD0475,2025-06-08,4,394,327,Electronics,South,1576,1308,268,17.01
ORD000120,CUST03243,PROD0395,2025-03-04,5,3617,2292,Fashion,West,18085,11460,6625,36.63
ORD000121,CUST04637,PROD0368,2025-03-17,4,3781,2355,Beauty,East,15124,9420,5704,37.71
ORD000122,CUST01060,PROD0129,2025-12-29,4,3902,2820,Beauty,East,15608,11280,4328,27.73
ORD000123,CUST01723,PROD0211,2025-12-11,1,1430,938,Home,East,1430,938,492,34.41
ORD000124,CUST03315,PROD0352,2025-12-30,5,4914,3393,Fashion,West,24570,16965,7605,30.95
ORD000125,CUST03158,PROD0264,2025-10-03,1,4327,3660,Home,East,4327,3660,667,15.41
ORD000126,CUST02626,PROD0403,2025-01-24,3,1657,1070,Beauty,East,4971,3210,1761,35.43
ORD000127,CUST02730,PROD0183,2025-12-04,2,4440,2436,Electronics,East,8880,4872,4008,45.14
ORD000128,CUST01598,PROD0272,2025-10-21,2,4727,3816,Fashion,East,9454,7632,1822,19.27
ORD000129,CUST03061,PROD0227,2025-11-25,2,2655,1895,Home,West,5310,3790,1520,28.63
ORD000130,CUST02694,PROD0322,2025-11-21,3,1224,713,Home,South,3672,2139,1533,41.75
ORD000131,CUST04892,PROD0012,2025-02-14,2,3011,2237,Electronics,West,6022,4474,1548,25.71
ORD000132,CUST03628,PROD0093,2025-11-29,3,1593,814,Fashion,South,4779,2442,2337,48.9
ORD000133,CUST01364,PROD0330,2025-11-25,2,515,259,Sports,West,1030,518,512,49.71
ORD000134,CUST01982,PROD0190,2025-07-13,4,1217,856,Sports,South,4868,3424,1444,29.66
ORD000135,CUST01664,PROD0086,2025-09-21,1,1382,1061,Sports,South,1382,1061,321,23.23
ORD000136,CUST01530,PROD0354,2025-02-03,3,3610,1949,Home,South,10830,5847,4983,46.01
ORD000137,CUST02039,PROD0442,2025-05-18,3,3419,2840,Home,South,10257,8520,1737,16.93
ORD000138,CUST03303,PROD0277,2025-12-31,1,4261,2903,Fashion,South,4261,2903,1358,31.87
ORD000139,CUST02238,PROD0293,2025-06-12,4,1266,779,Fashion,East,5064,3116,1948,38.47
ORD000140,CUST01307,PROD0261,2025-12-27,1,1709,967,Fashion,North,1709,967,742,43.42
ORD000141,CUST04030,PROD0198,2025-02-24,3,1046,682,Sports,West,3138,2046,1092,34.8
ORD000142,CUST02676,PROD0416,2025-01-26,2,1115,770,Beauty,West,2230,1540,690,30.94
ORD000143,CUST01283,PROD0323,2025-03-09,2,1800,1036,Electronics,North,3600,2072,1528,42.44
ORD000144,CUST00710,PROD0010,2025-12-17,4,4138,2879,Electronics,West,16552,11516,5036,30.43
ORD000145,CUST04745,PROD0453,2025-05-13,3,4551,2875,Sports,North,13653,8625,5028,36.83
ORD000146,CUST04414,PROD0088,2025-03-28,3,761,387,Beauty,West,2283,1161,1122,49.15
ORD000147,CUST03749,PROD0340,2025-03-20,4,4004,3259,Home,West,16016,13036,2980,18.61
ORD000148,CUST04780,PROD0318,2025-10-02,5,2338,1198,Sports,East,11690,5990,5700,48.76
ORD000149,CUST00664,PROD0037,2025-10-26,4,4443,2721,Electronics,West,17772,10884,6888,38.76
ORD000150,CUST01999,PROD0223,2025-02-08,1,537,390,Beauty,East,537,390,147,27.37
ORD000151,CUST03446,PROD0175,2025-08-19,1,4554,3715,Home,South,4554,3715,839,18.42
ORD000152,CUST03744,PROD0209,2025-11-01,5,1067,617,Fashion,West,5335,3085,2250,42.17
ORD000153,CUST01496,PROD0049,2025-11-10,1,3138,2652,Electronics,North,3138,2652,486,15.49
ORD000154,CUST03305,PROD0024,2025-11-11,4,3935,2662,Beauty,East,15740,10648,5092,32.35
ORD000155,CUST03764,PROD0338,2025-07-26,1,3711,2223,Electronics,East,3711,2223,1488,40.1
ORD000156,CUST01854,PROD0410,2025-02-09,4,913,656,Sports,North,3652,2624,1028,28.15
ORD000157,CUST04660,PROD0106,2025-04-16,1,4647,2389,Sports,North,4647,2389,2258,48.59
ORD000158,CUST01292,PROD0311,2025-09-28,1,3567,2002,Home,West,3567,2002,1565,43.87
ORD000159,CUST03582,PROD0263,2025-10-15,2,4907,3651,Sports,North,9814,7302,2512,25.6
ORD000160,CUST03458,PROD0491,2025-02-27,2,2758,1918,Fashion,West,5516,3836,1680,30.46
ORD000161,CUST01637,PROD0206,2025-12-17,4,2320,1485,Beauty,North,9280,5940,3340,35.99
ORD000162,CUST03697,PROD0169,2025-02-25,5,3312,2004,Sports,East,16560,10020,6540,39.49
ORD000163,CUST03000,PROD0497,2025-04-13,2,1367,1066,Electronics,North,2734,2132,602,22.02
ORD000164,CUST03153,PROD0386,2025-02-21,4,3285,1911,Home,West,13140,7644,5496,41.83
ORD000165,CUST00699,PROD0158,2025-08-17,4,2236,1876,Beauty,South,8944,7504,1440,16.1
ORD000166,CUST02161,PROD0241,2025-07-27,2,1553,913,Home,East,3106,1826,1280,41.21
ORD000167,CUST04098,PROD0465,2025-10-11,5,2838,2299,Sports,East,14190,11495,2695,18.99
ORD000168,CUST04738,PROD0123,2025-04-06,1,852,496,Fashion,South,852,496,356,41.78
ORD000169,CUST00855,PROD0020,2025-09-05,5,3299,1867,Electronics,East,16495,9335,7160,43.41
ORD000170,CUST03475,PROD0056,2025-06-14,2,3860,3221,Fashion,North,7720,6442,1278,16.55
ORD000171,CUST01708,PROD0458,2025-07-09,4,2255,1281,Sports,East,9020,5124,3896,43.19
ORD000172,CUST02778,PROD0280,2025-01-05,2,2441,1820,Sports,East,4882,3640,1242,25.44
ORD000173,CUST01734,PROD0108,2025-06-21,2,4977,2623,Beauty,East,9954,5246,4708,47.3
ORD000174,CUST04932,PROD0140,2025-11-02,2,4118,2176,Electronics,East,8236,4352,3884,47.16
ORD000175,CUST03511,PROD0091,2025-05-09,2,790,441,Sports,South,1580,882,698,44.18
ORD000176,CUST00203,PROD0271,2025-09-01,5,2198,1517,Sports,East,10990,7585,3405,30.98
ORD000177,CUST03256,PROD0329,2025-08-24,3,2166,1708,Fashion,South,6498,5124,1374,21.14
ORD000178,CUST04219,PROD0210,2025-09-14,2,3518,2426,Fashion,North,7036,4852,2184,31.04
ORD000179,CUST04497,PROD0176,2025-05-23,5,2705,1568,Fashion,North,13525,7840,5685,42.03
ORD000180,CUST00767,PROD0061,2025-07-21,5,996,578,Electronics,North,4980,2890,2090,41.97
ORD000181,CUST04390,PROD0455,2025-01-01,2,3249,2562,Electronics,South,6498,5124,1374,21.14
ORD000182,CUST02328,PROD0284,2025-11-04,5,3254,2338,Fashion,East,16270,11690,4580,28.15
ORD000183,CUST02932,PROD0366,2025-08-22,2,4977,2715,Home,South,9954,5430,4524,45.45
ORD000184,CUST00198,PROD0484,2025-12-23,4,3674,1874,Fashion,South,14696,7496,7200,48.99
ORD000185,CUST01931,PROD0003,2025-02-10,1,3509,2652,Electronics,North,3509,2652,857,24.42
ORD000186,CUST03583,PROD0492,2025-11-15,5,1343,858,Electronics,West,6715,4290,2425,36.11
ORD000187,CUST00609,PROD0272,2025-10-04,3,1261,863,Home,South,3783,2589,1194,31.56
ORD000188,CUST03273,PROD0164,2025-08-27,3,4747,3662,Electronics,East,14241,10986,3255,22.86
ORD000189,CUST01148,PROD0388,2025-08-07,4,1807,1006,Home,West,7228,4024,3204,44.33
ORD000190,CUST04283,PROD0483,2025-02-21,5,1363,1096,Sports,East,6815,5480,1335,19.59
ORD000191,CUST03398,PROD0009,2025-07-18,4,3620,3073,Home,North,14480,12292,2188,15.11
ORD000192,CUST02512,PROD0366,2025-10-19,3,4056,2703,Fashion,West,12168,8109,4059,33.36
ORD000193,CUST01795,PROD0012,2025-10-07,4,3621,2504,Electronics,West,14484,10016,4468,30.85
ORD000194,CUST00660,PROD0074,2025-04-09,2,4734,3589,Beauty,North,9468,7178,2290,24.19
ORD000195,CUST02812,PROD0238,2025-03-09,1,4177,2126,Sports,North,4177,2126,2051,49.1
ORD000196,CUST01370,PROD0300,2025-09-06,2,4630,3483,Fashion,North,9260,6966,2294,24.77
ORD000197,CUST01987,PROD0108,2025-09-15,5,936,775,Beauty,North,4680,3875,805,17.2
ORD000198,CUST00147,PROD0450,2025-12-21,3,2921,2123,Sports,West,8763,6369,2394,27.32
ORD000199,CUST03220,PROD0403,2025-12-04,5,4704,2596,Electronics,South,23520,12980,10540,44.81
ORD000200,CUST02912,PROD0013,2025-04-01,4,3973,2704,Sports,South,15892,10816,5076,31.94
ORD000201,CUST01735,PROD0234,2025-11-09,1,2578,1303,Electronics,East,2578,1303,1275,49.46
ORD000202,CUST01844,PROD0439,2025-11-15,2,762,464,Home,North,1524,928,596,39.11
ORD000203,CUST00489,PROD0245,2025-04-14,2,4555,2403,Beauty,East,9110,4806,4304,47.24
ORD000204,CUST02977,PROD0481,2025-11-23,1,4017,3047,Beauty,West,4017,3047,970,24.15
ORD000205,CUST01960,PROD0321,2025-09-11,1,2773,2121,Beauty,North,2773,2121,652,23.51
ORD000206,CUST02386,PROD0092,2025-10-24,4,4874,3621,Fashion,East,19496,14484,5012,25.71
ORD000207,CUST02920,PROD0360,2025-12-17,2,3677,2668,Home,West,7354,5336,2018,27.44
ORD000208,CUST04737,PROD0198,2025-09-05,3,1303,754,Sports,West,3909,2262,1647,42.13
ORD000209,CUST01803,PROD0116,2025-04-15,1,327,198,Fashion,East,327,198,129,39.45
ORD000210,CUST04062,PROD0131,2025-08-14,4,1983,1205,Fashion,East,7932,4820,3112,39.23
ORD000211,CUST03370,PROD0365,2025-09-20,1,2924,1763,Beauty,North,2924,1763,1161,39.71
ORD000212,CUST00263,PROD0153,2025-02-26,5,4128,3140,Fashion,South,20640,15700,4940,23.93
ORD000213,CUST00624,PROD0121,2025-06-22,1,637,437,Fashion,South,637,437,200,31.4
ORD000214,CUST01017,PROD0108,2025-05-06,5,2467,1943,Beauty,West,12335,9715,2620,21.24
ORD000215,CUST03644,PROD0436,2025-04-03,5,3836,2625,Beauty,South,19180,13125,6055,31.57
ORD000216,CUST04977,PROD0016,2025-05-01,3,437,256,Electronics,West,1311,768,543,41.42
ORD000217,CUST02050,PROD0299,2025-08-13,5,1300,1086,Sports,South,6500,5430,1070,16.46
ORD000218,CUST03724,PROD0056,2025-01-03,5,4708,3373,Fashion,West,23540,16865,6675,28.36
ORD000219,CUST04549,PROD0452,2025-04-14,5,703,581,Fashion,South,3515,2905,610,17.35
ORD000220,CUST03109,PROD0392,2025-06-09,1,326,272,Sports,South,326,272,54,16.56
ORD000221,CUST04091,PROD0103,2025-07-30,1,4556,3631,Electronics,North,4556,3631,925,20.3
ORD000222,CUST02057,PROD0208,2025-11-20,4,2536,1432,Home,North,10144,5728,4416,43.53
ORD000223,CUST03171,PROD0428,2025-10-01,2,892,566,Electronics,West,1784,1132,652,36.55
ORD000224,CUST01683,PROD0422,2025-12-05,3,2718,1763,Electronics,East,8154,5289,2865,35.14
ORD000225,CUST02256,PROD0151,2025-06-30,1,4778,3075,Home,East,4778,3075,1703,35.64
ORD000226,CUST01155,PROD0262,2025-03-17,4,3669,2190,Beauty,South,14676,8760,5916,40.31
ORD000227,CUST04500,PROD0043,2025-06-09,4,4829,2668,Sports,North,19316,10672,8644,44.75
ORD000228,CUST03192,PROD0300,2025-01-06,3,645,538,Electronics,West,1935,1614,321,16.59
ORD000229,CUST01697,PROD0464,2025-06-15,4,1299,783,Beauty,East,5196,3132,2064,39.72
ORD000230,CUST03992,PROD0118,2025-11-07,1,4158,2532,Home,South,4158,2532,1626,39.11
ORD000231,CUST04724,PROD0336,2025-10-09,5,2304,1316,Sports,East,11520,6580,4940,42.88
ORD000232,CUST04683,PROD0279,2025-07-19,1,4478,2449,Fashion,North,4478,2449,2029,45.31
ORD000233,CUST01649,PROD0144,2025-03-15,4,4022,2918,Home,South,16088,11672,4416,27.45
ORD000234,CUST01446,PROD0228,2025-08-02,2,3055,1626,Beauty,West,6110,3252,2858,46.78
ORD000235,CUST04200,PROD0204,2025-08-14,2,3491,2009,Electronics,North,6982,4018,2964,42.45
ORD000236,CUST03924,PROD0229,2025-04-19,5,2967,2057,Fashion,East,14835,10285,4550,30.67
ORD000237,CUST00254,PROD0265,2025-04-25,4,1215,718,Electronics,East,4860,2872,1988,40.91
ORD000238,CUST03184,PROD0466,2025-09-13,5,4432,3246,Electronics,South,22160,16230,5930,26.76
ORD000239,CUST02558,PROD0137,2025-03-27,5,2876,1932,Fashion,South,14380,9660,4720,32.82
ORD000240,CUST00099,PROD0240,2025-01-06,5,460,289,Beauty,West,2300,1445,855,37.17
ORD000241,CUST02201,PROD0469,2025-10-19,2,4114,3381,Beauty,North,8228,6762,1466,17.82
ORD000242,CUST02962,PROD0186,2025-05-07,3,932,582,Home,North,2796,1746,1050,37.55
ORD000243,CUST04974,PROD0449,2025-09-24,4,428,273,Beauty,North,1712,1092,620,36.21
ORD000244,CUST04434,PROD0315,2025-12-04,5,743,588,Beauty,East,3715,2940,775,20.86
ORD000245,CUST03778,PROD0151,2025-02-03,5,1635,1020,Beauty,East,8175,5100,3075,37.61
ORD000246,CUST02870,PROD0325,2025-09-16,1,2692,1654,Electronics,North,2692,1654,1038,38.56
ORD000247,CUST03235,PROD0403,2025-08-29,1,1747,1080,Electronics,West,1747,1080,667,38.18
ORD000248,CUST03792,PROD0291,2025-04-15,1,1777,1082,Fashion,South,1777,1082,695,39.11
ORD000249,CUST00957,PROD0353,2025-04-25,4,2750,2014,Sports,North,11000,8056,2944,26.76
ORD000250,CUST04068,PROD0439,2025-12-24,3,4486,3301,Fashion,East,13458,9903,3555,26.42
ORD000251,CUST00161,PROD0110,2025-09-05,4,4662,3764,Electronics,South,18648,15056,3592,19.26
ORD000252,CUST04494,PROD0466,2025-10-19,4,826,674,Sports,South,3304,2696,608,18.4
ORD000253,CUST01301,PROD0040,2025-07-28,2,2127,1554,Fashion,North,4254,3108,1146,26.94
ORD000254,CUST04912,PROD0142,2025-04-04,4,1900,1018,Beauty,West,7600,4072,3528,46.42
ORD000255,CUST03988,PROD0340,2025-01-30,1,3147,1855,Fashion,East,3147,1855,1292,41.05
ORD000256,CUST01528,PROD0372,2025-03-03,1,2893,2115,Home,East,2893,2115,778,26.89
ORD000257,CUST01219,PROD0013,2025-08-31,5,2078,1666,Home,South,10390,8330,2060,19.83
ORD000258,CUST04497,PROD0053,2025-06-30,5,4587,2601,Home,South,22935,13005,9930,43.3
ORD000259,CUST04736,PROD0080,2025-04-17,1,4236,2449,Electronics,South,4236,2449,1787,42.19
ORD000260,CUST03105,PROD0233,2025-02-19,4,2717,2000,Sports,East,10868,8000,2868,26.39
ORD000261,CUST02736,PROD0351,2025-08-11,4,1296,779,Fashion,West,5184,3116,2068,39.89
ORD000262,CUST04556,PROD0039,2025-06-09,3,795,586,Sports,East,2385,1758,627,26.29
ORD000263,CUST00955,PROD0227,2025-04-30,4,4413,3461,Beauty,South,17652,13844,3808,21.57
ORD000264,CUST04566,PROD0340,2025-12-05,2,206,119,Electronics,North,412,238,174,42.23
ORD000265,CUST03447,PROD0121,2025-09-22,2,2769,2349,Home,South,5538,4698,840,15.17
ORD000266,CUST01046,PROD0065,2025-09-29,4,1256,978,Fashion,West,5024,3912,1112,22.13
ORD000267,CUST01694,PROD0440,2025-12-16,5,4662,3793,Beauty,East,23310,18965,4345,18.64
ORD000268,CUST03437,PROD0296,2025-10-19,5,1907,1567,Fashion,South,9535,7835,1700,17.83
ORD000269,CUST00563,PROD0430,2025-09-24,5,1269,812,Home,East,6345,4060,2285,36.01
ORD000270,CUST02486,PROD0205,2025-03-20,2,2316,1510,Electronics,South,4632,3020,1612,34.8
ORD000271,CUST03355,PROD0135,2025-08-21,1,3119,2368,Home,West,3119,2368,751,24.08
ORD000272,CUST00226,PROD0045,2025-07-10,3,2544,2048,Beauty,West,7632,6144,1488,19.5
ORD000273,CUST04894,PROD0278,2025-03-26,5,3129,1683,Beauty,East,15645,8415,7230,46.21
