customer_id,total_orders,total_revenue,total_profit
CUST00144,10,46968,13480
CUST00145,5,16553,4034
CUST00146,10,52627,19779
CUST00147,8,55310,18075
CUST00148,9,59034,24052
CUST00149,14,116443,43695
CUST00150,7,29764,8238
CUST00151,9,68942,19132
CUST00152,13,106940,36705
CUST00153,8,45985,12405
CUST00154,14,119078,37643
CUST00155,11,94211,27990
CUST00156,9,72335,22286
CUST00157,7,49988,13664
CUST00158,7,30595,7577
CUST00159,8,67768,15790
CUST00160,9,39302,15278
CUST00161,14,99041,30914
CUST00162,15,115728,37866
CUST00163,8,58049,19519
CUST00164,7,77491,23823
CUST00165,13,122442,40129
CUST00166,10,56306,14992
CUST00167,10,92185,31054
CUST00168,9,66470,22051
CUST00169,12,110258,31544
CUST00170,6,41900,17322
CUST00171,8,76726,25608
CUST00172,10,67248,22056
CUST00173,4,21698,7766
CUST00174,8,52568,21810
CUST00175,10,77851,25330
CUST00176,11,85747,31088
CUST00177,8,66389,21637
CUST00178,9,71837,24188
CUST00179,12,87570,31668
CUST00180,9,82469,22939
CUST00181,6,44852,15177
CUST00182,7,65769,24361
CUST00183,7,45263,14347
CUST00184,6,34109,11485
CUST00185,13,135564,48355
CUST00186,12,68268,22411
CUST00187,12,121307,44986
CUST00188,11,66447,20814
CUST00189,9,67249,17259
CUST00190,8,56675,22119
CUST00191,12,82402,24776
CUST00192,8,79971,30966
CUST00193,7,68577,19310
CUST00194,11,84022,27433
CUST00195,9,71148,29287
CUST00196,12,68839,21529
CUST00197,8,105708,37705
CUST00198,11,108939,36932
CUST00199,8,82030,25000
CUST00200,9,44994,13680
CUST00201,9,61937,23019
CUST00202,15,111323,40317
CUST00203,8,47653,13388
CUST00204,10,71458,28947
CUST00205,15,107706,39404
CUST00206,8,42535,13516
CUST00207,9,98408,29995
CUST00208,15,96313,32311
CUST00209,8,26955,9680
CUST00210,15,113501,40555
CUST00211,6,55571,20721
CUST00212,11,54027,16052
CUST00213,5,43217,19529
CUST00214,10,54988,13663
CUST00215,8,63459,25498
CUST00216,11,82862,26060
CUST00217,9,72905,21539
CUST00218,4,25211,9486
CUST00219,9,62548,22957
CUST00220,13,66405,19883
CUST00221,17,146417,49642
CUST00222,5,37018,15957
CUST00223,11,110107,35930
CUST00224,8,102581,32257
CUST00225,9,51935,13504
CUST00226,11,82121,31337
CUST00227,17,117909,37427
CUST00228,14,117792,29750
CUST00229,9,86196,32080
CUST00230,13,147015,50742
CUST00231,12,78107,24187
CUST00232,10,72549,23851
CUST00233,11,59547,16052
CUST00234,12,87180,31371
CUST00235,9,62992,22489
CUST00236,8,68632,17680
CUST00237,13,111761,42248
CUST00238,10,75662,28854
CUST00239,15,53821,18546
CUST00240,16,110280,37900
CUST00241,12,108972,42241
CUST00242,13,64156,20525
CUST00243,13,107947,36073
CUST00244,11,45843,13127
CUST00245,13,131708,40610
CUST00246,8,43802,14369
CUST00247,16,88420,25139
CUST00248,6,60169,17849
CUST00249,8,44210,15263
CUST00250,12,132229,48303
CUST00251,9,73167,22454
CUST00252,4,33204,9038
CUST00253,11,78128,27309
CUST00254,10,95091,27104
CUST00255,10,87696,25371
CUST00256,14,122772,32789
CUST00257,18,150434,49928
CUST00258,11,80050,24651
CUST00259,14,84092,33127
CUST00260,13,87648,23372
CUST00261,11,83345,29089
CUST00262,8,57568,17734
CUST00263,7,74593,18314
CUST00264,10,96004,24597
CUST00265,13,132465,44431
CUST00266,13,116109,32514
CUST00267,9,67604,24465
CUST00268,11,85856,23573
CUST00269,8,50133,13848
CUST00270,15,108272,34304
CUST00271,15,113910,35484
CUST00272,10,62139,24880
CUST00273,12,102605,32509
CUST00274,5,28876,8000
CUST00275,3,31429,9825
CUST00276,15,107565,37092
CUST00277,11,63968,15008
CUST00278,14,129548,43172
CUST00279,6,34671,10779
CUST00280,12,59989,22478
CUST00281,5,44673,13524
CUST00282,7,33185,11743
CUST00283,8,44869,19216
CUST00284,9,91036,32064
CUST00285,13,142508,40762
CUST00286,7,32589,11330
CUST00287,4,18611,6219
CUST00288,10,87203,27425
CUST00289,5,26655,9524
CUST00290,13,79315,28801
CUST00291,13,86844,26409
CUST00292,6,60462,14813
CUST00293,13,80735,27961
CUST00294,10,85210,27509
CUST00295,9,88412,26287
CUST00296,9,93670,31114
CUST00297,8,40827,13034
CUST00298,5,41500,9912
CUST00299,10,66906,21036
CUST00300,12,98783,28420
CUST00301,5,45824,13830
CUST00302,16,124364,38288
CUST00303,7,33830,9631
CUST00304,14,108162,34405
CUST00305,7,60960,18990
CUST00306,14,137061,36374
CUST00307,15,89856,27338
CUST00308,13,90881,29553
CUST00309,9,79354,29842
CUST00310,10,74866,23438
CUST00311,8,54419,20121
CUST00312,9,40384,13875
CUST00313,6,25213,10325
CUST00314,11,133509,34104
CUST00315,6,39271,14510
CUST00316,8,69251,19660
CUST00317,8,39031,13018
CUST00318,14,159612,55673
CUST00319,8,70775,23597
CUST00320,8,63808,25026
CUST00321,7,46409,18618
CUST00322,9,56580,18843
CUST00323,4,36515,8801
CUST00324,6,19502,6659
CUST00325,12,139603,40968
CUST00326,8,58343,22688
CUST00327,8,80347,25738
CUST00328,11,128872,35668
CUST00329,12,121852,39575
CUST00330,12,75171,20138
CUST00331,6,44353,13521
CUST00332,13,90862,30334
CUST00333,14,136883,41816
CUST00334,8,58703,18413
CUST00335,8,69810,28281
CUST00336,12,85892,32544
CUST00337,6,46556,17231
CUST00338,9,103437,38474
CUST00339,10,95059,28103
CUST00340,7,25480,8895
CUST00341,20,162923,52197
CUST00342,11,93783,34440
CUST00343,12,117160,37515
CUST00344,11,47781,12924
CUST00345,8,70513,22993
CUST00346,6,26441,5421
CUST00347,5,45748,17627
CUST00348,9,83361,26964
CUST00349,12,112895,35716
CUST00350,11,82843,25965
CUST00351,11,75979,19179
CUST00352,7,48228,17182
CUST00353,11,62080,24720
CUST00354,11,54342,15174
CUST00355,10,55643,14152
CUST00356,9,76146,19352
CUST00357,10,88418,31933
CUST00358,14,104073,29227
CUST00359,11,86003,29844
CUST00360,13,157062,46594
CUST00361,14,151388,48013
CUST00362,10,84805,24328
CUST00363,10,118499,39490
CUST00364,11,87347,31619
CUST00365,15,99692,34880
CUST00366,7,49929,18717
CUST00367,8,59166,19676
CUST00368,6,51877,22944
CUST00369,16,109463,36405
CUST00370,8,80244,22081
CUST00371,13,101089,33718
CUST00372,6,45577,17589
CUST00373,10,65440,19321
CUST00374,6,44355,12033
CUST00375,9,51728,17114
CUST00376,14,118298,44924
CUST00377,11,95084,32953
CUST00378,9,88791,26476
CUST00379,8,82074,32298
CUST00380,7,77538,19851
CUST00381,10,76103,26157
CUST00382,7,65801,21069
CUST00383,9,63214,16978
CUST00384,11,97951,32927
CUST00385,5,54294,24810
CUST00386,7,31010,7178
CUST00387,13,68669,18472
CUST00388,12,111430,35003
CUST00389,10,92377,35903
CUST00390,12,80193,21555
CUST00391,11,56797,20012
CUST00392,16,115844,34820
CUST00393,13,153334,51995
CUST00394,14,129712,45068
CUST00395,9,83065,16754
CUST00396,9,92187,26453
CUST00397,5,39466,13067
CUST00398,6,24894,8313
CUST00399,10,64711,19929
CUST00400,8,46236,12733
CUST00401,13,107760,37972
CUST00402,8,29755,9292
CUST00403,13,113107,30900
CUST00404,11,102682,38572
CUST00405,10,71170,17496
CUST00406,8,61188,20804
CUST00407,8,59515,17183
CUST00408,12,85234,30903
CUST00409,7,49094,17108
CUST00410,8,93046,31923
CUST00411,6,39084,11972
CUST00412,9,72938,23444
CUST00413,9,61454,17165
CUST00414,11,73312,26594
CUST00415,10,95368,29121
CUST00416,8,39595,13438
CUST00417,10,72234,24476
CUST00418,7,43809,11372
CUST00419,8,67606,23209
CUST00420,14,88009,24282
CUST00421,11,114161,35261
CUST00422,9,65584,21147
CUST00423,11,68616,24013
CUST00424,6,39914,13477
CUST00425,11,130729,42720
CUST00426,8,55997,17456
CUST00427,3,47382,19935
CUST00428,10,64054,23463
CUST00429,4,43838,16810
CUST00430,7,46449,16313
CUST00431,4,27417,7810
CUST00432,10,61009,17849
CUST00433,12,80039,21497
CUST00434,9,84720,28731
CUST00435,11,62697,21502
CUST00436,10,67166,21272
CUST00437,12,86774,26696
CUST00438,12,61527,24320
CUST00439,5,26327,8864
CUST00440,5,39474,11791
CUST00441,15,121700,41512
CUST00442,13,99683,30684
CUST00443,12,93468,33553
CUST00444,14,71338,20467
CUST00445,8,45773,17450
CUST00446,9,68058,22993
CUST00447,14,91389,28985
CUST00448,4,16313,5004
CUST00449,13,114729,44971
CUST00450,16,108968,35035
CUST00451,7,93997,36430
CUST00452,7,61626,20506
CUST00453,12,99250,34748
CUST00454,10,56699,20536
CUST00455,7,37983,14659
CUST00456,9,106955,29235
CUST00457,10,45305,17466
CUST00458,6,36896,7635
CUST00459,11,84109,26545
CUST00460,14,119090,41546
CUST00461,16,118753,45151
CUST00462,13,91858,32281
CUST00463,5,39357,11616
CUST00464,9,82942,27663
CUST00465,15,119727,38538
CUST00466,6,21733,7856
CUST00467,7,41120,13387
CUST00468,8,76181,21711
CUST00469,8,46773,16388
CUST00470,6,29466,8225
CUST00471,14,101523,30437
CUST00472,11,86078,30740
CUST00473,12,91365,28455
CUST00474,9,39957,11732
CUST00475,9,65716,28598
CUST00476,9,84038,28514
CUST00477,3,6957,2274
CUST00478,9,57727,18097
CUST00479,12,70818,25914
CUST00480,10,60977,22248
CUST00481,6,66405,20181
CUST00482,7,44372,14109
CUST00483,9,72342,25664
CUST00484,8,73089,26000
CUST00485,10,92378,35354
CUST00486,6,43588,13714
CUST00487,6,40030,14185
CUST00488,9,66235,17819
CUST00489,13,79489,26187
CUST00490,11,80290,22041
CUST00491,10,90246,33519
CUST00492,8,32364,10773
CUST00493,11,105372,38475
CUST00494,12,65616,25781
CUST00495,7,51098,12603
CUST00496,10,80605,28116
CUST00497,13,72553,28302
CUST00498,15,74161,20707
CUST00499,11,70994,24796
CUST00500,10,92161,22217
CUST00501,11,80370,22483
CUST00502,5,50377,12678
CUST00503,9,69944,23138
CUST00504,9,86877,29765
CUST00505,16,100350,32529
CUST00506,10,56414,16287
CUST00507,10,60347,22297
CUST00508,9,63931,18666
CUST00509,11,84812,25947
CUST00510,8,90288,30205
CUST00511,12,67699,19232
CUST00512,5,29508,9941
CUST00513,13,85706,25719
CUST00514,14,114116,33633
CUST00515,16,145098,49381
CUST00516,12,82026,25226
CUST00517,10,51960,15098
CUST00518,11,84211,25859
CUST00519,9,47745,17290
CUST00520,11,79500,28538
CUST00521,7,86804,23934
CUST00522,11,83582,32480
CUST00523,15,155706,52336
CUST00524,13,70563,19755
CUST00525,10,67386,21174
CUST00526,9,68087,19237
CUST00527,10,99603,34185
CUST00528,11,66165,23017
CUST00529,11,80121,23659
CUST00530,13,125084,44220
CUST00531,13,86394,32078
CUST00532,15,105536,29744
CUST00533,6,58791,17072
CUST00534,10,112780,30818
CUST00535,6,21373,5353
CUST00536,10,82238,30418
CUST00537,9,59114,19791
CUST00538,14,141274,45772
CUST00539,11,97564,27569
CUST00540,12,70087,23982
CUST00541,14,122797,40049
CUST00542,13,96069,34261
CUST00543,14,150464,43788
CUST00544,6,41007,11781
CUST00545,14,123205,34848
CUST00546,16,145905,45584
CUST00547,10,52945,15634
CUST00548,6,59117,21367
CUST00549,6,58338,18814
CUST00550,7,37345,9946
CUST00551,6,41736,13972
CUST00552,9,82560,22139
CUST00553,10,80213,25047
CUST00554,8,33535,10372
CUST00555,11,87508,21951
CUST00556,15,106991,36565
CUST00557,11,90912,29752
CUST00558,10,54243,20186
CUST00559,7,39991,12697
CUST00560,15,141390,46442
CUST00561,16,124753,41295
CUST00562,10,75508,23838
CUST00563,9,41267,14738
CUST00564,4,27692,10513
CUST00565,7,84595,23543
CUST00566,11,91367,27701
CUST00567,8,81230,28104
CUST00568,16,158261,55757
CUST00569,9,69308,25539
CUST00570,10,57924,17422
CUST00571,9,55832,19488
CUST00572,13,114972,34621
CUST00573,11,83329,30145
CUST00574,8,66347,22105
CUST00575,16,127648,37552
CUST00576,12,109932,28975
CUST00577,9,61145,20252
CUST00578,10,86756,27445
CUST00579,10,55235,16144
CUST00580,10,50812,14597
CUST00581,14,146947,55138
CUST00582,8,80142,25740
CUST00583,8,71973,21579
CUST00584,15,89847,30589
CUST00585,7,41467,13012
CUST00586,5,44887,14734
CUST00587,6,46636,17872
CUST00588,9,81474,25512
CUST00589,7,71311,20517
CUST00590,14,71113,22034
CUST00591,7,55742,15062
CUST00592,12,68689,24027
CUST00593,10,100062,32192
CUST00594,13,110361,38939
CUST00595,8,33648,10560
CUST00596,16,72961,21649
CUST00597,8,50919,17128
CUST00598,10,40329,14048
CUST00599,9,55456,17720
CUST00600,13,97268,29218
CUST00601,18,128258,48295
CUST00602,9,73878,27280
CUST00603,14,123195,37537
CUST00604,9,75024,23250
CUST00605,15,96511,30554
CUST00606,14,99135,33489
CUST00607,6,61441,19446
CUST00608,10,106864,34415
CUST00609,9,62423,18893
CUST00610,10,79260,31733
CUST00611,11,74734,29329
CUST00612,11,103148,30890
CUST00613,9,78455,23888
CUST00614,13,76939,24318
CUST00615,11,98386,28294
CUST00616,15,103830,34916
CUST00617,12,143269,43753
CUST00618,14,127015,42378
CUST00619,10,62314,19157
CUST00620,10,74057,26353
CUST00621,14,54515,18878
CUST00622,6,38217,11924
CUST00623,12,79470,22756
CUST00624,9,43031,14046
CUST00625,3,22587,8591
CUST00626,8,101156,25456
CUST00627,6,33815,11102
CUST00628,7,29726,9977
CUST00629,9,87677,33644
CUST00630,13,113094,42962
CUST00631,10,52264,18784
CUST00632,11,74838,22789
CUST00633,7,33863,13268
CUST00634,12,96812,34781
CUST00635,11,61124,21572
CUST00636,6,44792,13562
CUST00637,13,96335,27683
CUST00638,11,99271,31262
CUST00639,10,88859,26847
CUST00640,9,39766,13591
CUST00641,5,19981,3868
CUST00642,11,63139,22169
CUST00643,7,58057,16503
CUST00644,12,69811,29229
CUST00645,6,47026,11963
CUST00646,17,95765,31882
CUST00647,7,58560,16843
CUST00648,16,126197,33642
CUST00649,7,84801,30953
CUST00650,12,72452,26960
CUST00651,10,76168,27657
CUST00652,7,66920,27003
CUST00653,8,43426,12175
CUST00654,7,41170,14521
CUST00655,13,96948,27766
CUST00656,6,54332,19315
CUST00657,9,100163,35148
CUST00658,7,38969,12209
CUST00659,12,119861,43123
CUST00660,9,81640,23957
CUST00661,14,77280,28298
CUST00662,15,187989,61130
CUST00663,8,60910,16946
CUST00664,12,104236,43529
CUST00665,5,34957,11403
CUST00666,10,116008,46395
CUST00667,10,88581,34564
CUST00668,8,67966,22440
CUST00669,7,49168,16508
CUST00670,10,76736,21414
CUST00671,9,42862,14249
CUST00672,14,80532,26707
CUST00673,7,56560,18024
CUST00674,8,51899,13216
CUST00675,7,53070,18573
CUST00676,15,172343,54099
CUST00677,10,61216,21493
CUST00678,10,62038,19454
CUST00679,9,35356,8672
CUST00680,9,69516,26767
CUST00681,9,76354,22943
CUST00682,5,41458,10712
CUST00683,7,37944,12448
CUST00684,9,71811,24410
CUST00685,12,70091,24616
CUST00686,9,79408,26960
CUST00687,10,64644,22324
CUST00688,11,62886,24621
CUST00689,7,64327,17864
CUST00690,12,148065,47685
CUST00691,9,81249,24836
CUST00692,7,57425,23097
CUST00693,8,102743,34450
CUST00694,14,94958,31265
CUST00695,7,73393,25047
CUST00696,7,62692,23584
CUST00697,6,28434,11825
CUST00698,5,45479,17093
CUST00699,14,117413,33402
CUST00700,9,69201,25842
CUST00701,10,60949,19841
CUST00702,8,80348,28143
CUST00703,11,74262,23085
CUST00704,14,135638,45872
CUST00705,11,101805,38146
CUST00706,9,94530,29539
CUST00707,8,63270,20225
CUST00708,11,64780,20377
CUST00709,2,21080,8151
CUST00710,8,49591,16703
CUST00711,11,88867,25797
CUST00712,10,107998,38604
CUST00713,10,71577,16273
CUST00714,10,92610,27503
CUST00715,14,121846,38061
CUST00716,8,38991,14410
CUST00717,11,108492,31708
CUST00718,8,79966,23615
CUST00719,8,76338,26267
CUST00720,15,100020,35393
CUST00721,6,38782,10316
CUST00722,14,128469,48020
CUST00723,11,59977,19523
CUST00724,12,116147,42228
CUST00725,13,138933,40496
CUST00726,6,38881,10526
CUST00727,9,59902,20363
CUST00728,5,20405,6812
CUST00729,9,77132,24356
CUST00730,9,70482,21665
CUST00731,10,38818,11425
CUST00732,8,50530,14743
CUST00733,18,149575,52365
CUST00734,8,49394,12806
CUST00735,8,72614,20528
CUST00736,8,42230,12073
CUST00737,7,60016,19026
CUST00738,8,85962,31606
CUST00739,5,60841,24959
CUST00740,7,63571,21124
CUST00741,11,66290,18834
CUST00742,17,86045,29811
CUST00743,10,84999,26382
CUST00744,14,106414,38703
CUST00745,10,90203,33370
CUST00746,8,60306,18299
CUST00747,12,60637,14452
CUST00748,8,53696,16247
CUST00749,9,82271,27712
CUST00750,8,56536,19541
CUST00751,7,58030,21926
CUST00752,9,94557,31717
CUST00753,9,57122,21052
CUST00754,13,120814,39175
CUST00755,11,97594,29424
CUST00756,14,94092,34659
CUST00757,11,112139,36467
CUST00758,9,48224,13562
CUST00759,7,49627,12830
CUST00760,12,80909,19474
CUST00761,12,88295,25975
CUST00762,14,96987,31586
CUST00763,11,117666,35452
CUST00764,11,68009,20264
CUST00765,7,46054,13611
CUST00766,8,61401,16042
CUST00767,7,47332,17467
CUST00768,10,56585,23659
CUST00769,14,106583,35904
CUST00770,9,31713,11876
CUST00771,10,96133,25997
CUST00772,12,99979,35402
CUST00773,9,77434,22535
CUST00774,9,77566,25682
CUST00775,11,87270,23921
CUST00776,12,103906,30057
CUST00777,5,25979,9760
CUST00778,6,45974,16032
CUST00779,13,85680,23659
CUST00780,6,51332,19611
CUST00781,4,38742,14541
CUST00782,9,49473,13160
CUST00783,16,145263,54336
CUST00784,10,71056,26492
CUST00785,9,66214,19791
CUST00786,16,103262,26104
CUST00787,10,100507,26815
CUST00788,15,135636,45783
CUST00789,10,80346,25573
CUST00790,12,86359,34265
CUST00791,10,103079,40412
CUST00792,15,85874,25511
CUST00793,14,104980,41483
CUST00794,11,96609,24632
CUST00795,8,48700,15582
CUST00796,7,71023,17706
CUST00797,9,29497,10788
CUST00798,20,129638,37580
CUST00799,11,98013,29955
CUST00800,5,33600,12202
CUST00801,10,52947,15825
CUST00802,4,14109,3717
CUST00803,9,81217,23348
CUST00804,15,89804,33880
CUST00805,16,127732,47747
CUST00806,14,90392,27736
CUST00807,14,98044,27236
CUST00808,9,75469,22786
CUST00809,10,98945,32414
CUST00810,10,99316,34829
CUST00811,12,67350,22597
CUST00812,8,71950,24643
CUST00813,6,30497,10998
CUST00814,13,108440,34857
CUST00815,10,84040,26871
CUST00816,19,167608,56198
CUST00817,7,31412,12737
CUST00818,8,40032,10658
CUST00819,11,40417,12589
CUST00820,10,73731,20955
CUST00821,10,86880,28383
CUST00822,9,47808,16476
CUST00823,12,78121,25853
CUST00824,11,99276,40145
CUST00825,10,70745,25845
CUST00826,14,87390,31097
CUST00827,8,34786,12856
CUST00828,12,73068,19183
CUST00829,3,28965,9780
CUST00830,6,48497,16085
CUST00831,9,98087,34116
CUST00832,7,45827,18779
CUST00833,7,36699,11664
CUST00834,10,62032,13312
CUST00835,12,88964,33583
CUST00836,9,72135,23488
CUST00837,9,68901,23108
CUST00838,10,52153,12874
CUST00839,11,117481,38340
CUST00840,4,42949,15168
CUST00841,10,79781,26222
CUST00842,14,121608,37778
CUST00843,6,38813,14710
CUST00844,7,37933,11082
CUST00845,13,113384,39975
CUST00846,10,58423,22583
CUST00847,4,26478,8269
CUST00848,10,67042,21631
CUST00849,7,53197,20674
CUST00850,11,59132,18646
CUST00851,11,94602,24546
CUST00852,10,88745,29640
CUST00853,6,39548,13596
CUST00854,5,63737,18194
CUST00855,15,151238,41457
CUST00856,11,82092,27732
CUST00857,5,41894,15057
CUST00858,13,87066,33003
CUST00859,7,64210,17764
CUST00860,7,71014,26801
CUST00861,13,85697,26451
CUST00862,10,81958,26511
CUST00863,7,48491,15717
CUST00864,7,59339,24196
CUST00865,10,67701,28680
CUST00866,7,67575,22614
CUST00867,4,41561,15164
CUST00868,12,83668,28111
CUST00869,6,51221,14638
CUST00870,10,51499,19686
CUST00871,12,99102,31643
CUST00872,8,77416,22488
CUST00873,7,27463,10383
CUST00874,9,62072,20484
CUST00875,11,88008,28314
CUST00876,11,101253,32708
CUST00877,8,51873,19523
CUST00878,14,138255,40777
CUST00879,10,74679,24428
CUST00880,6,62456,17213
CUST00881,9,96034,28969
CUST00882,8,52712,14511
CUST00883,18,130575,48551
CUST00884,11,102258,21736
CUST00885,6,27313,7971
CUST00886,14,116092,39658
CUST00887,12,79212,25431
CUST00888,8,53957,13508
CUST00889,14,145730,44871
CUST00890,15,79776,21922
CUST00891,5,36220,12242
CUST00892,11,116898,40171
CUST00893,10,44039,15619
CUST00894,7,51455,12117
CUST00895,9,36730,9242
CUST00896,11,71669,27354
CUST00897,6,67332,23042
CUST00898,14,47670,13574
CUST00899,5,53141,14982
CUST00900,9,73950,27925
CUST00901,13,123067,45542
CUST00902,10,79752,23854
CUST00903,8,86898,29740
CUST00904,9,93869,29993
CUST00905,15,95281,34027
CUST00906,9,76634,22464
CUST00907,11,78434,23964
CUST00908,11,92623,26364
CUST00909,4,20434,6632
CUST00910,10,56696,17407
CUST00911,11,89191,32661
CUST00912,6,40163,14658
CUST00913,11,66690,21430
CUST00914,12,81436,28277
CUST00915,7,48368,15407
CUST00916,15,109585,30939
CUST00917,17,112769,35579
CUST00918,12,72604,25145
CUST00919,13,99963,30428
CUST00920,11,90462,31780
CUST00921,12,78009,27775
CUST00922,9,69201,22530
CUST00923,16,87967,29852
CUST00924,10,108803,35178
CUST00925,10,85238,30593
CUST00926,7,51759,10494
CUST00927,6,30666,10036
CUST00928,8,93790,27761
CUST00929,5,61790,12033
CUST00930,14,107583,40115
CUST00931,12,103664,36725
CUST00932,8,55668,12670
CUST00933,8,66458,21821
CUST00934,7,64532,22515
CUST00935,5,62922,23736
CUST00936,16,94714,33026
CUST00937,3,22928,7542
CUST00938,11,49334,15890
CUST00939,13,109346,37199
CUST00940,15,137142,50008
CUST00941,7,54924,17829
CUST00942,15,123336,38989
CUST00943,9,64316,18401
CUST00944,9,60631,17477
CUST00945,16,72845,25603
CUST00946,10,48607,17715
CUST00947,10,57254,21548
CUST00948,16,139795,47377
CUST00949,14,79792,22087
CUST00950,12,114411,44835
CUST00951,9,79737,23581
CUST00952,12,105194,26380
CUST00953,6,29978,8233
CUST00954,12,118057,27662
CUST00955,15,129463,42228
CUST00956,8,42779,11821
CUST00957,16,130018,40760
CUST00958,8,48203,16747
CUST00959,10,43822,14816
CUST00960,10,59487,18090
CUST00961,7,55703,20650
CUST00962,8,38603,10123
CUST00963,9,66514,21792
CUST00964,6,53404,20447
CUST00965,9,92392,31905
CUST00966,9,79733,25806
CUST00967,8,49806,16410
CUST00968,5,32777,9603
CUST00969,16,180810,54673
CUST00970,12,126520,35015
CUST00971,5,44179,13696
CUST00972,5,22037,6975
CUST00973,15,122803,37708
CUST00974,9,67294,18617
CUST00975,15,94747,29467
CUST00976,14,112539,30614
CUST00977,16,137544,46164
CUST00978,10,70216,22604
CUST00979,7,34366,10882
CUST00980,10,84515,27855
CUST00981,5,25050,8557
CUST00982,12,76550,25572
CUST00983,10,67867,24238
CUST00984,10,116578,40016
CUST00985,19,148003,42248
CUST00986,9,97417,33832
CUST00987,9,58860,17436
CUST00988,20,102724,29878
CUST00989,13,92771,21188
CUST00990,14,124050,46492
CUST00991,14,91245,29061
CUST00992,12,80689,25912
CUST00993,14,135046,43994
CUST00994,5,53474,17328
CUST00995,8,74863,21556
CUST00996,10,95422,38546
CUST00997,7,56256,21248
